	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
0	00103.*A	AL	'17/35	2900	80	ASPH-CONC-F	AFSC	MED	17	172.0		False	BSC	F	31-36-14.9900N	113774.9900N	085-14-20.2000W	306860.2000W	463.1			300.0				PLINE	36.0	35	352.0		False	BSC	F	31-35-46.5600N	113746.5600N	085-14-15.6200W	306855.6200W	462.8							TREE	28.0												
1	00106.*A	AL	'05/23	2644	112	TURF-G			05	49.0			NSTD		34-12-53.1000N	123173.1000N	087-09-41.2200W	313781.2200W	786.0							TREES	32.0	23	229.0			NSTD		34-13-10.3200N	123190.3200N	087-09-17.5200W	313757.5200W	776.0							TREES	25.0												
2	00108.*A	AL	'01/19	2002	60	TURF-G			01													400.0				TREES	23.0	19													600.0				PLINE	25.0												
3	00108.*A	AL	'07/25	1104	60	TURF-G			07																			25																														
4	00110.*A	AL	'16/34	5000	75	ASPH-G		MED	16	157.0		False	NPI	G	33-11-02.8099N	119462.8099N	086-47-10.9568W	312430.9568W	572.7	57.0	3.5		P4L			BLDG	70.0	34	337.0		True	NPI	G	33-10-17.1992N	119417.1992N	086-46-48.1798W	312408.1798W	585.6	44.0	4.0		P4L			BLDG	60.0	16.0											
5	00110.01*H	AL	'H1	50	50	CONC			H1						33-15-00.4100N	119700.4100N	086-48-49.9600W	312529.9600W	510.0																																							
6	00112.1*A	AL	'05/23	6114	100	ASPH-F	GRVD	MED	05	48.0		False	NPI	P	34-13-24.6869N	123204.6869N	086-15-47.9111W	310547.9111W	1002.7	42.0	3.0		P2L			TREES	55.0	23	228.0		False	NPI	P	34-14-04.8966N	123244.8966N	086-14-53.5273W	310493.5273W	1032.3	42.0	3.0		P2L			TREE	55.0	60.0	90.0	130.0									
7	00116.*A	AL	'18/36	5422	96	ASPH-F	GRVD	MED	18	178.0		False	NPI	G	32-55-19.8713N	118519.8713N	085-57-48.0006W	309468.0006W	685.8	57.0	3.0	623.0	P4L			TREES	47.0	36	358.0		False	NPI	G	32-54-26.2822N	118466.2822N	085-57-45.2549W	309465.2549W	611.9	50.0	3.0		P4L			TREES	24.0	30.0											
8	00119.*A	AL	'06/24	5001	80	ASPH-G		MED	06	62.0		False	NPI	G	33-06-12.5300N	119172.5300N	088-12-15.7000W	317535.7000W	142.8								7.0	24	242.0		False	NPI	G	33-06-36.0300N	119196.0300N	088-11-23.9600W	317483.9600W	149.8								72.0												
9	00124.*A	AL	'11/29	6000	100	ASPH-G		MED	11	107.0			NPI	F	31-18-38.5737N	112718.5737N	086-24-05.1514W	311045.1514W	309.9	33.0	3.0		P4R			TREES	43.0	29	287.0			NPI	F	31-18-21.5636N	112701.5636N	086-22-58.8933W	310978.8933W	299.9	47.0	3.5		P4L					98.0	160.0	275.0									
10	00128.*A	AL	'05/23	7000	150	ASPH-G	GRVD	HIGH	05	48.0	ILS	True	PIR	F	33-34-54.4446N	120894.4446N	085-52-00.1779W	309120.1779W	594.7	40.0	3.0		P4L					23	228.0		False	NPI	F	33-35-40.3670N	120940.3670N	085-50-58.2419W	309058.2419W	612.0	39.0	3.0		P4L			TREES	40.0	28.0	43.5	260.0									
11	00128.01*H	AL	'H1	50	50	CONC		FLD	H1						33-39-21.6200N	121161.6200N	085-49-28.0000W	308968.0000W	772.0																																							
12	00128.02*H	AL	'H1	100	75	ASPH			H1						33-37-35.0000N	121055.0000N	085-58-02.0000W	309482.0000W	686.0																																							
13	00133.5*A	AL	'01/19	2700	100	TURF-F			01	11.0		False	NSTD	P	34-58-31.5745N	125911.5745N	086-53-03.0187W	312783.0187W	922.0							TREE	51.0	19	191.0		False	NSTD	P	34-58-57.7640N	125937.7640N	086-52-56.6320W	312776.6320W	901.0							TREE	64.0												
14	00134.*H	KY	'H1	45	48	CONC			H1																																																	
15	00135.*A	AL	'09/27	4023	80	ASPH-G		MED	09			False	NPI	G	33-17-03.1100N	119823.1100N	085-48-55.9700W	308935.9700W	1065.9			200.0				POLE	35.0	27			False	NPI	G	33-17-03.1100N	119823.1100N	085-48-08.5800W	308888.5800W	1057.3							TREE	46.0	20.0				4023.0	4023.0			3823.0	4023.0		
16	00135.01*H	AL	'H1	24	21	CONC			H1						33-16-37.9800N	119797.9800N	085-49-29.3500W	308969.3500W	1040.0																																							
17	00137.*A	AL	'10/28	1800	60	TURF			10					G														28					G																									
18	00139.*H	AL	'H1	60	60	CONC			H1																																																	
19	00140.1*A	AL	'18/36	5001	80	ASPH-G		MED	18	180.0		False	NPI	F	31-01-22.8859N	111682.8859N	087-26-48.4001W	314808.4001W	283.2	40.0	3.0		P2L			RR	35.0	36	360.0		False	NPI	F	31-00-33.3886N	111633.3886N	087-26-48.2376W	314808.2376W	279.9	40.0	3.0		P2L			PLINE	50.0	16.0											
20	00146.*A	AL	'11/29	4000	75	ASPH-E		MED	11	107.0		False	NPI	G	32-37-10.4919N	117430.4919N	085-26-14.4647W	307574.4647W	774.9							TREES	26.0	29	287.0		False	NPI	G	32-36-58.7148N	117418.7148N	085-25-29.8200W	307529.8200W	766.3	22.0	3.0	297.0	P4L			POLE	44.0	25.0	42.0										
21	00146.*A	AL	'18/36	5264	100	ASPH-F	GRVD	HIGH	18	181.0		False	PIR	G	32-37-12.7247N	117432.7247N	085-26-09.7285W	307569.7285W	776.8						False	TREES	12.0	36	1.0	ILS	False	PIR	G	32-36-20.6524N	117380.6524N	085-26-10.8443W	307570.8443W	731.1	44.0	3.0		P4L		False			45.0	75.0										
22	00155.*A	AL	'08/26	5500	79	ASPH-G		MED	08	86.0		False	NPI	G	30-52-11.1626N	111131.1626N	087-49-41.0186W	316181.0186W	206.5	41.0	3.0		P2L			TREE	20.0	26	266.0		False	NPI	G	30-52-15.1746N	111135.1746N	087-48-38.0898W	316118.0898W	248.1	40.0	3.0		P2L					28.0											
23	00155.03*H	AL	'H1	30	30	ASPH			H1						30-56-55.0000N	111415.0000N	087-44-44.0000W	315884.0000W	284.0																																							
24	00155.31*A	AL	'18/36	2000	150	TURF-G			18	179.0		False	NSTD		30-27-28.7901N	109648.7901N	088-12-40.4649W	317560.4649W	76.0							POLE	31.0	36	359.0		False			30-27-08.9925N	109628.9925N	088-12-40.0499W	317560.0499W	87.0							TREES	64.0												
25	00155.32*H	AL	'H1	90	50	CONC			H1						30-25-51.2900N	109551.2900N	088-10-45.1000W	317445.1000W	32.9																																							
26	00157.1*A	AL	'05/23	6007	100	ASPH-F		HIGH	05	50.0	ILS/DME	False	PIR	P	33-18-26.2261N	119906.2261N	086-56-01.7232W	312961.7232W	699.3	60.0	3.0		P4L					23	230.0		False	NPI	P	33-19-04.5723N	119944.5723N	086-55-07.6511W	312907.6511W	699.5	40.0	3.0		P4L			GND	22.0	60.0	60.0										
27	00157.11*H	AL	'H1	50	50	CONC		PERI	H1						33-22-17.1600N	120137.1600N	086-59-27.6200W	313167.6200W	670.0																																							
28	00164.*A	AL	'06/24	12007	150	ASPH-G	GRVD	HIGH	06	55.0	ILS	False	PIR	G	33-33-17.2063N	120797.2063N	086-46-17.6487W	312377.6487W	603.4	68.0	3.0		P4L	True	True	TREES	58.0	24	235.0	ILS/DME	False	PIR	G	33-34-24.5295N	120864.5295N	086-44-20.7487W	312260.7487W	650.0	69.0	3.0	1205.0	P4L	True	False	GND	67.0	175.0	205.0	350.0		12007.0	12007.0	12007.0	12007.0	12007.0	12007.0	12007.0	10801.0
29	00164.*A	AL	'18/36	7099	150	ASPH-G	GRVD	MED	18	180.0	LOC/DME	False	NPI	G	33-34-23.5685N	120863.5685N	086-44-49.8849W	312289.8849W	644.3	51.0	3.2		P4L			TREES	245.0	36	0.0		False	NPI	G	33-33-13.3386N	120793.3386N	086-44-49.9207W	312289.9207W	633.5							TREES	62.0	75.0	170.0	240.0		7099.0	7099.0	7099.0	7099.0	7099.0	7099.0	7099.0	7099.0
30	00164.05*H	AL	'H1	20	20	CONC		PERI	H1						33-29-51.3810N	120591.3810N	086-50-46.9660W	312646.9660W	557.0																																							
31	00164.06*H	AL	'H1	70	70	CONC		PERI	H1						33-32-09.2300N	120729.2300N	086-48-41.2100W	312521.2100W	672.0																																							
32	00164.06*H	AL	'H2	70	70	CONC		PERI	H2						33-32-08.4100N	120728.4100N	086-48-40.9000W	312520.9000W	672.0																																							
33	00164.07*H	AL	'H1	70	70	CONC		PERI	H1						33-30-19.4200N	120619.4200N	086-48-20.5200W	312500.5200W	698.0																																							
34	00164.07*H	AL	'H2	80	80	CONC			H2						33-30-13.8800N	120613.8800N	086-48-16.7900W	312496.7900W	698.0																																							
35	00164.08*H	AL	'H1	80	45	CONC			H1						33-30-43.3800N	120643.3800N	086-40-38.9500W	312038.9500W	645.0																																							
36	00164.11*H	AL	'H1	60	60	ALUMINUM		PERI	H1				BSC	G	33-30-21.1000N	120621.1000N	086-48-10.0000W	312490.0000W	787.0																																							
37	00164.12*H	AL	'H1	50	50	ASPH			H1						33-27-50.6600N	120470.6600N	086-46-22.3300W	312382.3300W	763.0																																							
38	00164.16*H	AL	'H1	40	40	CONC		PERI	H1						33-25-58.3500N	120358.3500N	086-42-57.9400W	312177.9400W	540.0																																							
39	00164.18*H	AL	'H1	64	64	CONC			H1						33-31-10.3790N	120670.3790N	086-48-48.9640W	312528.9640W	676.0																																							
40	00164.19*H	AL	'H1	40	40	CONC		PERI	H1						33-35-49.1000N	120949.1000N	086-40-04.1100W	312004.1100W	1070.0																																							
41	00164.21*H	AL	'H1	24	24	CONC		PERI	H1						33-28-43.2000N	120523.2000N	086-42-07.2000W	312127.2000W	620.0																																							
42	00164.9*A	AL	'01/19	1500	15	TURF-GRVL			01																	PLINE	50.0	19																	PLINE	50.0												
43	00170.*A	AL	'16/34	2500	100	TURF			16																	TREE		34																														
44	00174.*H	AL	'H1	40	40	CONC		PERI	H1						34-13-13.4600N	123193.4600N	086-09-37.5400W	310177.5400W	1035.0																																							
45	00174.02*A	AL	'09/27	1300	80	TURF-G			09																			27																	TREES	50.0												
46	00180.*A	AL	'16/34	1000	50	TURF-G			16																	TREES	65.0	34																	TREES	65.0												
47	00183.0*A	AL	'16/34	3279	60	TURF-G			16				BSC	G												TREE	50.0	34				BSC	G												TREE	28.0												
48	00186.*A	AL	'06/24	5136	150	ASPH-F			06	63.0		False	NPI	F	31-02-59.9075N	111779.9075N	087-04-32.8231W	313472.8231W	80.9							TREE	6.0	24	243.0		False	NPI	F	31-03-23.0719N	111803.0719N	087-03-40.2698W	313420.2698W	83.3							TREES	91.0	40.0	60.0										
49	00186.*A	AL	'12/30	5001	150	ASPH-F		MED	12	120.0		False	NPI	F	31-03-05.7158N	111785.7158N	087-04-22.5823W	313462.5823W	81.9	48.0	3.25		P2L			TREES	59.0	30	300.0		False	NPI	F	31-02-41.0657N	111761.0657N	087-03-32.7288W	313412.7288W	98.7	42.0	3.5		P2L			TREE	7.0	40.0	60.0										
50	00186.01*H	AL	'H1	50	50	CONC			H1						31-07-32.4100N	112052.4100N	087-04-24.4900W	313464.4900W	155.0																																							
51	00189.*H	AL	'H1	80	80	CONC		PERI	H1						34-54-50.3200N	125690.3200N	085-46-15.2400W	308775.2400W	710.0																																							
52	00199.003*H	AL	'H1	60	60	CONC			H1																																																	
53	00199.1*A	AL	'12/30	4082	80	ASPH-P		MED	12	116.0		False	NPI	P	32-07-18.2621N	115638.2621N	088-08-00.2526W	317280.2526W	116.3	40.0	3.0	169.0	P2L			TREES	89.0	30	296.0		False	NPI	P	32-07-00.7730N	115620.7730N	088-07-17.4760W	317237.4760W	133.7	40.0	3.0	444.0	P2L			TREES	42.0	15.0											
54	00207.1*A	AL	'18/36	4303	80	ASPH-G	AFSC	MED	18	179.0		False	NPI	G	31-59-08.3798N	115148.3798N	087-20-21.1621W	314421.1621W	142.7	23.0	3.0		V2L			TREE	56.0	36	359.0		False	NPI	G	31-58-25.8064N	115105.8064N	087-20-20.4737W	314420.4737W	142.3	21.0	2.75		V2L				10.0	27.0											
55	00209.16*H	AL	'H1	30	30	CONC-GRVL			H1																																																	
56	00210.*A	AL	'04/22	2600	75	TURF			04													481.0				TREES	30.0	22													541.0				TREE	50.0												
57	00218.11*A	AL	'18/36	2000	50	TURF			18																			36																														
58	00218.12*A	AL	'07/25	5500	100	ASPH-G	AFSC	MED	07	63.0			NPI	G	34-05-11.3544N	122711.3544N	085-37-05.3913W	308225.3913W	584.4							TREES	65.0	25	243.0			NPI	G	34-05-36.0631N	122736.0631N	085-36-07.1334W	308167.1334W	594.6																				
59	00218.7*A	AL	'10/28	4206	80	ASPH-F		MED	10	95.0		False	NPI	P	32-56-14.7900N	118574.7900N	087-05-50.5500W	313550.5500W	238.5	40.0	4.0		P2L			TREE	78.0	28	275.0		False	NPI	P	32-56-11.1700N	118571.1700N	087-05-01.3900W	313501.3900W	250.9	40.0	4.0		P2L			TREES	17.0	18.0											
60	00225.*A	AL	'17/35	3000	100	TURF			17			False																35			False																											
61	00226.5*A	AL	'12/30	4002	80	ASPH-G		MED	12	120.0		False	NPI	G	31-27-16.0141N	113236.0141N	088-11-59.8622W	317519.8622W	165.2			200.0			False	ROAD	13.0	30	300.0		False	NPI	G	31-26-55.9875N	113215.9875N	088-11-20.0095W	317480.0095W	126.2						False	TREE	18.0	15.0											
62	00226.51*A	AL	'10/28	2500	150	TURF			10																	TREES	30.0	28																														
63	00227.22*H	AL	'H1	45	45	ASPH			H1						33-19-20.7600N	119960.7600N	086-21-28.3700W	310888.3700W	417.0							POLE																																
64	00228.*H	AL	'H1	40	40	CONC-G		PERI	H1						31-05-22.5500N	111922.5500N	088-14-42.2600W	317682.2600W																																								
65	00233.*A	AL	'08/26	4007	100	ASPH-G		MED	08	78.0		False	NPI	F	32-50-57.7431N	118257.7431N	086-37-04.1544W	311824.1544W	584.7	38.0	4.0		P2L			TREE	83.0	26	258.0		False	NPI	F	32-51-05.7450N	118265.7450N	086-36-18.1593W	311778.1593W	566.6	51.0	4.0		P2L			GND	46.0	16.0											
66	00233.1*A	AL	'N/S	2400	60	TURF		LOW	N			True														TREES		S			True														TREES													
67	00233.13*H	AL	'H1	26	26	CONC			H1						32-48-01.8000N	118081.8000N	086-26-47.4000W	311207.4000W	442.0																																							
68	00233.2*H	AL	'H1	40	40	CONC			H1						32-52-51.0000N	118371.0000N	086-37-19.0000W	311839.0000W	683.0																																							
69	00234.*A	AL	'09/27	5010	80	ASPH-F		HIGH	09	97.0		False	NPI	P	31-53-02.8386N	114782.8386N	085-29-35.6544W	307775.6544W	422.0	30.0	3.2	278.0	P2L			TREE	40.0	27	277.0		False	NPI	P	31-52-57.0959N	114777.0959N	085-28-37.9636W	307717.9636W	434.3	37.0	3.75		P2L			TREE	15.0												
70	00241.*A	AL	'05/23	3751	60	TURF-G			05													400.0				TREES	29.0	23													400.0				TREES	58.0												
71	00241.19*H	AL	'H1	40	40	CONC-G			H1																																																	
72	00244.7*H	AL	'H1	50	50	CONC		PERI	H1						32-10-20.5480N	115820.5480N	085-01-43.7490W	306103.7490W	95.0																																							
73	00245.*A	AL	'13/31	4994	100	CONC-F		HIGH	13	130.0			NPI	P	34-39-41.4027N	124781.4027N	087-21-13.4070W	314473.4070W	581.5									31	310.0			NPI	P	34-39-09.6699N	124749.6699N	087-20-27.5963W	314427.5963W	571.7																				
74	00245.*A	AL	'18/36	3484	150	CONC-P			18	175.0			BSC	G	34-39-52.0300N	124792.0300N	087-21-02.8100W	314462.8100W	583.9							TREE	54.0	36	355.0			BSC	G	34-39-17.7000N	124757.7000N	087-20-59.1600W	314459.1600W	580.2																				
75	00245.6*A	AL	'12/30	1860	50	TURF			12																			30																														
76	00246.*A	AL	'03/21	2000	180	TURF-G		NSTD	03	38.0			NSTD	F	30-54-25.0663N	111265.0663N	087-59-53.8645W	316793.8645W	4.0							TREE	23.0	21	218.0			NSTD	F	30-54-40.6685N	111280.6685N	087-59-39.7272W	316779.7272W	8.0							TREES	73.0												
77	00248.3*A	AL	'02/20	5500	100	ASPH-F		MED	02	17.0		False	NPI	F	34-15-41.2496N	123341.2496N	086-51-38.2478W	312698.2478W	934.2	67.0	3.77		P2L			TREES	32.0	20	197.0		False	NPI	F	34-16-33.3990N	123393.3990N	086-51-19.6208W	312679.6208W	969.2	33.0	3.0		P2L			TREE	36.0	30.0											
78	00248.32*H	AL	'H1	50	50	CONC			H1						34-12-07.1400N	123127.1400N	086-48-23.4000W	312503.4000W	826.0																																							
79	00249.*H	AL	'H1	30	30	CONC		PERI	H1						32-49-06.5700N	118146.5700N	085-44-29.4400W	308669.4400W	668.0																																							
80	00249.4*H	AL	'H1	60	60	CONC		FLD	H1						34-22-22.8000N	123742.8000N	087-04-49.8000W	313489.8000W	650.0							PLINE																																
81	00250.1*A	AL	'12/30	3000	80	ASPH-F		MED	12			False	BSC	F	30-15-45.9300N	108945.9300N	088-07-53.1900W	317273.1900W	4.7	44.0	3.0	202.0	P2L					30			False	BSC	F	30-15-29.6100N	108929.6100N	088-07-24.6100W	317244.6100W	5.3	51.0	3.5	140.0	P2R			TREES	45.0	30.0											
82	00250.13*H	AL	'H1	40	40	CONC		PERI	H1						30-39-16.6900N	110356.6900N	087-51-15.3100W	316275.3100W	195.0																																							
83	00250.2*A	AL	'09/27	2600	60	TURF			09													500.0				PLINE	25.0	27													65.0				FENCE	4.0												
84	00251.*A	AL	'18/36	6107	100	ASPH-F	GRVD	HIGH	18	181.0	ILS/DME	False	PIR	F	34-39-44.7800N	124784.7800N	086-56-42.5900W	313002.5900W	588.0									36	1.0		False	PIR	F	34-38-44.3900N	124724.3900N	086-56-44.0200W	313004.0200W	583.3				P2L					75.0	125.0	150.0									
85	00251.02*H	AL	'H1	51	51	ASPH			H1						34-35-31.5500N	124531.5500N	086-58-19.6500W	313099.6500W	588.0																																							
86	00254.*A	AL	'04/22	5002	100	ASPH-G		MED	04	43.0		False	NPI	P	32-27-31.5994N	116851.5994N	087-57-34.4163W	316654.4163W	111.7	43.0	3.25		P2R					22	223.0		False	NPI	P	32-28-07.9321N	116887.9321N	087-56-54.7676W	316614.7676W	105.3	43.0	3.25		P2L			TREES	86.0	30.0	38.0	60.0									
87	00254.01*H	AL	'H1	50	50	CONC		PERI	H1						32-30-20.0000N	117020.0000N	087-50-11.0000W	316211.0000W	154.0																																							
88	00266.21*H	AL	'H1	40	40	CONC-F		PERI	H1					F	31-13-05.0800N	112385.0800N	085-22-05.0000W	307325.0000W	314.0																																							
89	00266.21*H	AL	'H2	56	56	CONC-F			H2					F	31-13-06.1000N	112386.1000N	085-22-04.5000W	307324.5000W	291.0																																							
90	00266.22*H	AL	'H1	60	60	CONC		PERI	H1						31-14-14.5200N	112454.5200N	085-27-17.2200W	307637.2200W	305.0																																							
91	00267.*A	AL	'14/32	8499	150	ASPH-E	GRVD	HIGH	14	135.0	ILS/DME	False	PIR	G	31-19-50.1212N	112790.1212N	085-27-41.9248W	307661.9248W	400.6	40.0	3.0		P2L					32	315.0	ILS	False	PIR	G	31-18-50.6966N	112730.6966N	085-26-32.5791W	307592.5791W	381.6									75.0	105.0	190.0		8496.0	8496.0	8496.0	8496.0	8496.0	8496.0	8496.0	8496.0
92	00267.*A	AL	'18/36	5498	100	ASPH-G		HIGH	18	180.0		False	NPI	G	31-19-35.5493N	112775.5493N	085-26-44.0162W	307604.0162W	394.7	40.0	3.0	499.0	P4L			TREES	48.0	36	360.0		False	NPI	G	31-18-41.1362N	112721.1362N	085-26-44.0072W	307604.0072W	378.4							TREES	80.0	75.0	105.0	190.0		5500.0	5500.0	5500.0	5000.0	5000.0	5000.0	5000.0	5000.0
93	00267.04*H	AL	'H1	65	65	CONC			H1						30-18-55.6200N	109135.6200N	087-34-20.5600W	315260.5600W	14.0																																							
94	00267.2*A	AL	'03/21	3331	78	ASPH-P		MED	03	29.0			BSC	P	34-08-24.7810N	122904.7810N	087-19-49.7320W	314389.7320W	753.6			216.0				TREES	42.0	21	209.0			BSC	P	34-08-53.6100N	122933.6100N	087-19-30.5290W	314370.5290W	745.9									15.0											
95	00267.6*A	AL	'01/19	3050	75	ASPH-F		MED	01			False	BSC	G	31-24-21.5700N	113061.5700N	086-05-29.9500W	309929.9500W	253.5							TREE	53.0	19			False	BSC	G	31-24-50.6700N	113090.6700N	086-05-20.6100W	309920.6100W	251.4							POLE	49.0	4.0											
96	00267.7*A	AL	'18/36	2500	100	TURF			18			False																36			False																											
97	00267.81*A	AL	'17/35	3100	100	TURF			17													858.0				TREES	30.0	35				BSC									947.0				TREES	35.0												
98	00269.*A	AL	'09/27	2175	80	TURF-G			09				NSTD													BRUSH		27				NSTD									370.0				TREES	35.0												
99	00287.1*A	AL	'05/23	5080	100	ASPH-G		MED	05	52.0		False	NPI	F	31-17-43.4677N	112663.4677N	085-54-22.4752W	309262.4752W	342.4	50.0	3.0		P2L			TREES	12.0	23	232.0		False	NPI	F	31-18-14.4952N	112694.4952N	085-53-36.4100W	309216.4100W	353.2	58.0	3.5		P2L			POLE	29.0												
100	00290.*A	AL	'18/36	5000	100	ASPH-G		MED	18	184.0		False	NPI	G	31-57-29.4378N	115049.4378N	085-07-42.3099W	306462.3099W	283.0	26.0	3.0		P4L			TREES	18.0	36	4.0		False	NPI	G	31-56-40.0553N	115000.0553N	085-07-45.9743W	306465.9743W	277.4	25.0	3.0		P4L			TREES	32.0	16.0											
101	00290.08*H	AL	'H1	50	50	CONC			H1																																																	
102	00293.*A	AL	'16/34	3600	80	ASPH-P		MED	16	161.0		False	NPI	P	32-49-30.3357N	118170.3357N	087-52-01.1546W	316321.1546W	170.0					False	False			34	341.0		False	NPI	P	32-48-56.6505N	118136.6505N	087-51-47.4103W	316307.4103W	163.0					False	False	PLINE	26.0												
103	00296.*A	AL	'01/19	5005	150	ASPH-F		MED	01	5.0		False	NPI	P	31-24-23.4809N	113063.4809N	087-02-51.9700W	313371.9700W	251.7									19	185.0		False	NPI	P	31-25-12.8189N	113112.8189N	087-02-46.5905W	313366.5905W	257.8																				
104	00296.*A	AL	'10/28	5004	150	ASPH-G		MED	10	100.0		False	NPI	P	31-25-03.9046N	113103.9046N	087-02-51.3500W	313371.3500W	258.9	51.0	3.0		P4L					28	280.0		False	NPI	P	31-24-55.7203N	113095.7203N	087-01-54.3997W	313314.3997W	248.8									30.0	50.0										
105	00296.01*H	AL	'H1	24	24	CONC			H1						31-25-48.3600N	113148.3600N	086-56-24.7800W	312984.7800W	245.0																																							
106	00300.3*A	AL	'01/19	6604	100	ASPH-F	GRVD	HIGH	01	9.0		False	PIR	F	30-27-05.5892N	109625.5892N	087-52-43.4595W	316363.4595W	86.7	35.0	3.0		P4L					19	189.0		False	PIR	F	30-28-10.0819N	109690.0819N	087-52-31.1685W	316351.1685W	91.1	35.0	3.0		P4L			POLE	24.0	36.0	58.0										
107	00302.*A	AL	'01/19	5009	80	ASPH-G		MED	01	3.0		False	NPI	G	33-42-08.0288N	121328.0288N	087-48-56.0930W	316136.0930W	330.9	45.0	3.0		P2L			TREES	29.0	19	183.0		False	NPI	G	33-42-57.5336N	121377.5336N	087-48-53.4094W	316133.4094W	357.4	45.0	3.0		P2L			TREES	83.0	15.0											
108	00302.01*H	AL	'H1	50	50	CONC		PERI	H1				BSC	G	33-42-33.0000N	121353.0000N	087-49-25.0000W	316165.0000W	370.0																																							
109	00305.*A	AL	'16/34	2000	100	TURF			16																	PLINE	1.0	34																	TREES	77.0												
110	00305.01*H	AL	'H1	30	30	CONC		PERI	H1						34-46-08.1100N	125168.1100N	085-41-46.3400W	308506.3400W	1289.0																																							
111	00306.*A	AL	'15/33	2200	100	TURF			15																			33																	TOWER	144.0												
112	00308.1*H	AL	'H1	45	30	CONC		PERI	H1																																																	
113	00308.5*A	AL	'04/22	3197	75	ASPH-G		MED	04	38.0			BSC	F	31-02-20.3700N	111740.3700N	086-18-52.8300W	310732.8300W	287.7							TREES	49.0	22	218.0			BSC	F	31-02-45.4400N	111765.4400N	086-18-30.4100W	310710.4100W	314.3							POLE	39.0												
114	00310.*C	AL	'02W/20W	6200	1200	WATER			02W																			20W																														
115	00310.*C	AL	'08W/26W	6500	1000	WATER			08W																			26W																														
116	00310.*C	AL	'17W/35W	11000	1100	WATER			17W																			35W																														
117	00310.1*A	AL	'09/27	2200	50	TURF			09																	PLINES	50.0	27																	PLINES	50.0												
118	00310.14*H	AL	'H1	40	40	CONC		PERI	H1						34-48-18.4500N	125298.4500N	087-39-10.1500W	315550.1500W	526.0																																							
119	00323.*A	AL	'17/35	2640	70	TURF			17																			35																	PLINE	30.0												
120	00323.23*A	AL	'18/36	2000	150	TURF			18			True																36																														
121	00323.24*H	AL	'H1	30	30	CONC		PERI	H1						30-25-36.0100N	109536.0100N	087-41-06.4100W	315666.4100W	85.0							BLDG																																
122	00323.3*A	AL	'18/36	3700	74	ASPH-F		MED	18	180.0		True	NPI	P	30-25-57.9463N	109557.9463N	087-42-03.4520W	315723.4520W	62.7	40.0	3.0		P2L					36	360.0		False	NPI	P	30-25-21.3279N	109521.3279N	087-42-03.4813W	315723.4813W	74.3	38.0	3.0	187.0	P2L			ROAD	14.0	28.0											
123	00323.4*A	AL	'09/27	5000	150	ASPH			09						30-23-19.0757N	109399.0757N	087-38-29.5038W	315509.5038W	49.5									27						30-23-18.3486N	109398.3486N	087-37-32.4182W	315452.4182W	46.0																				
124	00323.4*A	AL	'15/33	5000	150	ASPH			15						30-23-53.1477N	109433.1477N	087-38-00.1978W	315480.1978W	47.3									33						30-23-09.9477N	109389.9477N	087-37-32.3454W	315452.3454W	49.3																				
125	00324.07*H	AL	'H1	35	35	CONC			H1						32-36-04.7300N	117364.7300N	087-47-00.6200W	316020.6200W	107.0																																							
126	00326.*A	AL	'15/33	3593	78	ASPH-P		MED	15			False	BSC	P	31-58-35.0400N	115115.0400N	086-35-41.6400W	311741.6400W								TREE	25.0	33			False	BSC	P	31-58-04.1400N	115084.1400N	086-35-20.8200W	311720.8200W								TREE	10.0	15.0											
127	00328.*A	AL	'E/W	1925	100	TURF			E																			W																														
128	00328.1*A	AL	'04/22	5001	100	ASPH-G		MED	04	39.0		False	NPI	G	34-28-06.2520N	124086.2520N	085-43-36.0616W	308616.0616W	855.8	58.0	4.0		P4L			POLE	49.0	22	219.0		False	NPI	G	34-28-44.3700N	124124.3700N	085-42-58.0137W	308578.0137W	873.1	38.0	3.0		P4R			POLE	45.0	16.0											
129	00328.11*H	AL	'H1	30	30	CONC		PERI	H1						34-26-31.9300N	123991.9300N	085-45-20.9500W	308720.9500W	810.0																																							
130	00329.*A	AL	'06/24	4546	150	ASPH		HIGH	06		ILS/DME				31-16-14.1970N	112574.1970N	085-43-13.3150W	308593.3150W	295.8									24						31-16-36.2020N	112596.2020N	085-42-27.6180W	308547.6180W	294.5																				
