	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
7297	07138.6*A	KY	'18/36	4500	100	ASPH		HIGH	18				NPI	G	36-40-37.8424N	132037.8424N	087-29-46.9488W	314986.9488W	561.4	50.0	3.0		P4L					36				BSC	P	36-39-53.3550N	131993.3550N	087-29-46.2000W	314986.2000W	553.6	49.0	3.0		P4L																
7298	07139.*A	KY	'15/33	4853	75	ASPH		MED	15			False	NPI	G	37-54-45.7836N	136485.7836N	085-58-43.9261W	309523.9261W	754.3									33			False	NPI	G	37-54-04.9910N	136444.9910N	085-58-12.0663W	309492.0663W	729.7																				
7299	07139.*A	KY	'18/36	5184	150	ASPH		HIGH	18		ILS/DME	False	NPI	G	37-54-51.0582N	136491.0582N	085-58-13.1228W	309493.1228W	753.6	50.0	3.0		P4L					36			False	NPI	G	37-53-59.9005N	136439.9005N	085-58-09.3157W	309489.3157W	727.6	60.0	3.0		P4L																
7300	07141.01*H	KY	'H1	20	20	CONC			H1						39-04-40.2170N	140680.2170N	084-27-52.7890W	304072.7890W	814.0																																							
7301	07143.*A	KY	'09/27	1800	75	TURF			09																			27																														
7302	07143.05*A	KY	'14/32	1800	100	TURF			14													300.0				ROAD	15.0	32			True																											
7303	07144.08*A	KY	'09/27	600	50	TURF			09																			27																														
7304	07144.1*A	KY	'07/25	5506	100	ASPH-F		MED	07	64.0		False	NPI	F	38-10-42.2605N	137442.2605N	084-54-55.2601W	305695.2601W	812.3	27.0	3.0		P4L			TREES	68.0	25	244.0	LOC/DME	False	NPI	F	38-11-06.2077N	137466.2077N	084-53-53.3383W	305633.3383W	783.4	31.0	3.5		P4L			TREE	54.0	44.0	51.0	82.0									
7305	07144.12*H	KY	'H1	100	100	CONC			H1																																																	
7306	07144.14*H	KY	'H1	45	45	CONC		PERI	H1						38-09-35.1500N	137375.1500N	084-54-27.9000W	305667.9000W	722.0																																							
