site_number	state	sequence_number	service_schedule
00103.*A	AL	1	UNATTENDED
00106.*A	AL	1	UNATTENDED
00108.*A	AL	1	UNATTENDED
00110.*A	AL	1	ALL/ALL/0700-1900
00110.01*H	AL	1	ALL/ALL/ALL
00112.1*A	AL	1	ALL/MON-SAT/0700-DUSK
00112.1*A	AL	2	ALL/SUN/1230-DUSK
00116.*A	AL	1	ALL/MON-FRI/0800-1700
00119.*A	AL	1	UNATTENDED
00124.*A	AL	4	ALL/SAT/0800-1630
00124.*A	AL	5	ALL/MON - FRI/0700-0000
00128.*A	AL	2	ALL/MON-FRI/0700-1800
00128.*A	AL	3	ALL/SAT-SUN/0800-1700
00128.01*H	AL	1	UNATTENDED
00128.02*H	AL	1	ALL/MON-FRI/0800-1630
00133.5*A	AL	1	ALL/MON-FRI/DALGT
00134.*H	KY	1	UNATTENDED
00135.*A	AL	2	UNATTENDED
00135.01*H	AL	1	ALL/ALL/ALL
00137.*A	AL	1	UNATTENDED
00139.*H	AL	1	UNATTENDED
00140.1*A	AL	1	ALL/MON-FRI/0700-1700
00146.*A	AL	2	ALL/MON-FRI/0700-1900
00146.*A	AL	3	ALL/SAT-SUN/0800-1700
00155.*A	AL	3	ALL/ALL/0800-1700
00155.31*A	AL	1	ON CALL
00155.32*H	AL	1	ALL/ALL/DAWN-DUSK
00157.1*A	AL	1	ALL/ALL/0800-1800
00157.11*H	AL	1	ALL/ALL/ALL
00164.*A	AL	1	ALL/ALL/ALL
00164.05*H	AL	1	ALL/ALL/ALL
00164.06*H	AL	1	ALL/ALL/ALL
00164.07*H	AL	1	UNATTENDED
00164.08*H	AL	1	IRREGULAR
00164.11*H	AL	1	UNATTENDED
00164.12*H	AL	1	UNATTENDED
00164.16*H	AL	1	ALL/ALL/ALL
00164.18*H	AL	1	UNATTENDED
00164.19*H	AL	1	UNATTENDED
00164.21*H	AL	1	UNATTENDED
00164.9*A	AL	1	UNATTENDED
00170.*A	AL	1	UNATTENDED
00174.*H	AL	1	UNATTENDED
00174.02*A	AL	1	UNATTENDED
00180.*A	AL	1	UNATTENDED
00183.0*A	AL	1	UNATTENDED
00186.*A	AL	1	ALL/MON-FRI/0730-1700
00186.*A	AL	2	ALL/SAT/0830-1700
00186.01*H	AL	1	UNATTENDED
00189.*H	AL	1	UNATTENDED
00199.003*H	AL	1	UNATTENDED
00199.1*A	AL	1	UNATTENDED
00207.1*A	AL	1	UNATTENDED
00210.*A	AL	1	UNATTENDED
00218.11*A	AL	1	ALL/ALL/ALL
00218.12*A	AL	1	UNATTENDED
00218.7*A	AL	1	UNATTENDED
00225.*A	AL	1	UNATTENDED
00226.5*A	AL	1	UNATTENDED
00226.51*A	AL	1	UNATTENDED
00227.22*H	AL	1	UNATTENDED
00228.*H	AL	1	ON CALL
00233.*A	AL	2	ALL/MON-FRI/0800-1700
00233.1*A	AL	1	UNATTENDED
00234.*A	AL	1	UNATTENDED
00241.*A	AL	1	UNATTENDED
00241.19*H	AL	1	UNATTENDED
00244.7*H	AL	1	UNATTENDED
00245.*A	AL	1	ALL/MON-FRI/1400-1600
00245.*A	AL	2	ALL/SAT/0800-1200
00245.6*A	AL	1	UNATTENDED
00246.*A	AL	1	UNATTENDED
00248.3*A	AL	1	ALL/ALL/0700-1700
00248.32*H	AL	1	ALL/ALL/ALL
00249.4*H	AL	1	UNATTENDED
00250.1*A	AL	1	UNATTENDED
00250.13*H	AL	1	ALL/ALL/ON CALL
00250.2*A	AL	1	UNATTENDED
00251.*A	AL	1	ALL/MON-FRI/0700-1800
00251.*A	AL	2	ALL/SAT-SUN/0800-1800
00251.02*H	AL	1	UNATTENDED
00254.*A	AL	1	ALL/ALL/0800-1700
00254.01*H	AL	1	ALL/ALL/ALL
00266.21*H	AL	1	UNATTENDED
00266.22*H	AL	1	ALL/ALL/ALL
00267.*A	AL	1	ALL/ALL/ALL
00267.2*A	AL	2	UNATTENDED
00267.6*A	AL	1	UNATTENDED
00267.7*A	AL	1	ALL/ALL/DALGT
00267.81*A	AL	1	UNATTENDED
00269.*A	AL	1	UNATTENDED
00287.1*A	AL	1	ALL/MONDAY - FRIDAY/0700 - 1700
00287.1*A	AL	2	ALL/SATURDAY/0800 - 1700
00290.*A	AL	1	MAR-OCT/ALL/0800-1700
00290.*A	AL	2	NOV-FEB/ALL/0700-1600
00293.*A	AL	1	UNATTENDED
00296.*A	AL	1	ALL/ALL/0800-1700
00296.01*H	AL	1	UNATTENDED
00300.3*A	AL	1	ALL/ALL/0600-2000
00302.*A	AL	1	ALL/MON-FRI/0900-1300
00302.01*H	AL	1	UNATTENDED
00305.*A	AL	1	UNATTENDED
00305.01*H	AL	1	ALL/ALL/ALL
00306.*A	AL	1	UNATTENDED
00308.1*H	AL	1	ALL/ALL/ALL
00308.5*A	AL	1	ALL/ALL/0800-2400
00310.*C	AL	1	UNATTENDED
00310.1*A	AL	1	UNATTENDED
00323.*A	AL	1	UNATTENDED
00323.23*A	AL	1	UNATTENDED
00323.24*H	AL	1	ALL/ALL/ALL
00323.3*A	AL	1	ALL/ALL/0800-1700
00323.4*A	AL	3	ALL/SAT-SUN/CLSD
00323.4*A	AL	4	ALL/HOLS/CLSD
00323.4*A	AL	5	ALL/MON-FRI/1330-2330Z+
00326.*A	AL	1	UNATTENDED
00328.*A	AL	1	ALL/ALL/ALL
00328.1*A	AL	1	ALL/ALL/0700-1700
00328.11*H	AL	1	UNATTENDED
00329.*A	AL	1	ALL/ALL/ALL
00329.01*H	AL	1	ALL/MON-FRI/0600-0030
00329.01*H	AL	2	EXCP HOL
00329.03*H	AL	1	ALL/MON-FRI/0700-0100
00329.03*H	AL	2	EXCP HOL
00329.06*H	AL	1	ALL/MON-FRI/1230-1800
00329.07*H	AL	1	UNATTENDED
00329.08*H	AL	1	UNATTENDED
00329.09*H	AL	1	UNATTENDED
00329.1*H	AL	1	UNATTENDED
00329.11*H	AL	1	UNATTENDED
00329.12*H	AL	1	UNATTENDED
00329.13*H	AL	1	UNATTENDED
00329.14*H	AL	1	UNATTENDED
00329.15*H	AL	1	UNATTENDED
00329.16*H	AL	1	UNATTENDED
00329.17*H	AL	1	UNATTENDED
00329.18*H	AL	1	UNATTENDED
00329.2*H	AL	1	UNATTENDED
00329.21*H	AL	1	UNATTENDED
00329.22*H	AL	1	UNATTENDED
00329.23*H	AL	1	UNATTENDED
00329.24*H	AL	1	UNATTENDED
00329.25*H	AL	1	UNATTENDED
00333.*A	AL	2	FEB-OCT/ALL/0700-1900
00333.*A	AL	3	NOV-JAN/ALL/0700-1700
00333.01*H	AL	1	UNATTENDED
00336.21*H	AL	1	UNATTENDED
00336.5*A	AL	1	IRREGULAR
00341.1*A	AL	1	UNATTENDED
00344.1*A	AL	1	ALL/MON-SAT/0800-1700
00344.1*A	AL	2	ALL/SUN/1200-1700
00344.13*H	AL	1	ALL/ALL/ALL
00350.1*A	AL	1	UNATTENDED
00353.1*A	AL	1	ALL/MON-SAT/0700-1600
00353.1*A	AL	2	ALL/SUN/1300-1700
00353.11*A	AL	1	UNATTENDED
00353.12*A	AL	1	UNATTENDED
00359.12*C	AL	2	ALL/ALL/ALL
00359.68*C	AL	1	UNATTENDED
00359.69*C	AL	1	UNATTENDED
00359.7*A	AL	6	ALL/ALL/0600-2200
00360.*A	AL	2	ALL/MON - SAT/0800-1700
00360.1*H	AL	1	ALL/ALL/ALL
00361.02*A	AL	1	IRREGULAR
00363.*A	AL	1	ALL/MON-FRI/0800-1700
00366.1*A	AL	1	ALL/MON-FRI/0800-1630
00368.2*A	AL	1	UNATTENDED
00371.*A	AL	1	UNATTENDED
00372.*A	AL	1	ALL/ALL/ALL
00372.01*A	AL	1	UNATTENDED
00374.09*H	AL	1	ON CALL
00374.1*A	AL	3	ALL/ALL/0800-1700
00374.5*A	AL	1	UNATTENDED
00375.5*A	AL	1	ALL/TUE-SAT/0800-1700
00375.6*A	AL	1	IRREGULAR
00376.*A	AL	1	ALL/MON - FRI/0800 - 1700
00376.*A	AL	2	ALL/SAT - SUN/UNATTENDED
00380.*H	AL	1	UNATTENDED
00385.*H	AL	1	UNATTENDED
00385.02*A	AL	1	IRREGULAR
00385.1*A	AL	1	ALL/ALL/ALL
00385.12*H	AL	1	ALL/ALL/ALL
00385.2*A	AL	1	ALL/ALL/1000-1800
00385.3*A	AL	2	IRREGULAR
00385.4*A	AL	1	ALL/MON-FRI/0730-2130
00385.4*A	AL	2	ALL/SAT-SUN/0730-2000
00387.*A	AL	1	UNATTENDED
00388.04*A	AL	1	UNATTENDED
00393.*A	AL	1	IRREGULAR
00394.1*A	AL	1	UNATTENDED
00395.01*A	AL	1	UNATTENDED
00401.02*H	AL	1	ALL/ALL/ALL
00401.3*A	AL	1	ALL/MON - SAT/0800-1600
00405.*A	AL	1	UNATTENDED
00410.1*A	AL	4	UNATTENDED
00410.3*A	AL	1	ALL/ALL/ALL
00412.1*A	AL	1	ALL/ALL/ALL
00419.*A	AL	1	UNATTENDED
00419.05*A	AL	1	UNATTENDED
00419.1*A	AL	1	UNATTENDED
00420.*A	AL	1	UNATTENDED
00425.1*A	AL	1	UNATTENDED
00426.3*A	AL	1	IRREGULAR
00426.51*A	AL	1	IRREGULAR
00427.4*A	AL	1	UNATTENDED
00428.21*A	AL	1	UNATTENDED
00429.*H	AL	1	ALL/ALL/ALL
00430.*A	AL	1	UNATTENDED
00437.*A	AL	1	ALL/ALL/0700-2300
00437.1*H	AL	1	ALL/ALL/ALL
00437.2*H	AL	1	ALL/ALL/ALL
00437.3*A	AL	1	UNATTENDED
00437.4*A	AL	1	UNATTENDED
00438.*A	AL	1	ALL/ALL/ALL
00440.11*H	AL	1	ALL/ALL/ALL
00440.2*A	AL	1	ALL/MON-FRI/0800-2000
00440.2*A	AL	2	ALL/SAT-SUN/0800-1700
00445.*A	AL	1	UNATTENDED
00446.*A	AL	1	ALL/MON-FRI/1400-0400Z++
00446.*A	AL	2	ALL/SAT-SUN/1600-0000Z++
00446.2*H	AL	1	UNATTENDED
00446.5*H	AL	1	ALL/ALL/ALL
00446.51*A	AL	1	UNATTENDED
00447.*A	AL	1	ALL/ALL/ALL
00448.*A	AL	1	UNATTENDED
00450.*A	AL	1	ALL/ALL/DAWN-DUSK
00450.1*H	AL	1	ALL/ALL/ALL
00450.35*A	AL	1	UNATTENDED
00451.*H	AL	1	ALL/MON-SAT/0830-1630
00455.*A	AL	1	ALL/ALL/0600-1800
00455.01*H	AL	1	ALL/ALL/SR-SS
00455.1*A	AL	1	UNATTENDED
00463.1*A	AL	2	UNATTENDED
00464.5*A	AL	1	UNATTENDED
00464.51*H	AL	1	ALL/ALL/ALL
00477.*A	AL	1	UNATTENDED
00479.*A	AL	1	UNATTENDED
00480.1*A	AL	1	ALL/ALL/0800-1700
00480.11*H	AL	1	ALL/ALL/ALL
00480.12*A	AL	1	UNATTENDED
00480.21*H	AL	1	UNATTENDED
00480.6*A	AL	1	ALL/MON-SAT/0730-1700
00480.6*A	AL	2	ALL/SUN/1100-1700
00480.71*A	AL	1	UNATTENDED
00480.75*H	AL	1	UNATTENDED
00481.01*A	AL	1	UNATTENDED
00481.26*A	AL	1	UNATTENDED
00481.29*A	AL	1	UNATTENDED
00481.30*A	AL	1	UNATTENDED
00481.37*A	AL	1	UNATTENDED
00481.91*A	AL	1	APR-OCT/ALL/0800-1800
00481.91*A	AL	4	NOV-MAR/ALL/0800-1700
00492.5*A	AL	1	ALL/MON-FRI/0700-1600
00492.5*A	AL	2	CLDS HOLS
00494.*A	AL	1	UNATTENDED
00498.*A	AL	1	UNATTENDED
00498.01*H	AL	1	IRREGULAR
00498.5*A	AL	1	UNATTENDED
00499.03*A	AL	1	UNATTENDED
00499.1*A	AL	1	UNATTENDED
00502.1*A	AL	1	ALL/MON-FRI/0900-1700
00502.1*A	AL	2	ALL/SAT/0800-1400
00507.*A	AL	1	UNATTENDED
00507.01*A	AL	1	UNATTENDED
00507.02*A	AL	1	UNATTENDED
00508.22*H	AL	1	ALL/ALL/ALL
00509.1*A	AL	1	ALL/ALL/0800-1700
00509.12*H	AL	1	UNATTENDED
00511.*A	AL	1	ALL/ALL/0800-1800
00511.1*H	AL	1	UNATTENDED
00514.*A	AL	1	UNATTENDED
00514.19*H	AL	2	ALL/ALL/ALL
00516.*A	AL	1	ALL/MON-SAT/0800-1700
00516.*A	AL	2	ALL/SUN/1200-1700
00519.*C	AL	1	UNATTENDED
00520.1*A	AL	1	UNATTENDED
00520.2*A	AL	1	UNATTENDED
00521.*C	AL	1	ALL/ALL/SR-SS
00521.01*H	NY	1	12/7/24
00522.*A	AL	1	UNATTENDED
00522.1*A	AL	1	ALL/MON-SAT/DAWN-DUSK
00522.11*A	AL	1	ALL/MON-FRI/1330-2330Z++
00522.11*A	AL	2	ALL/SAT-SUN/CLSD
00522.11*A	AL	3	ALL/HOLS/CLSD
00525.1*A	AL	1	ALL/MON-FRI/0800-1700
00525.11*C	AL	1	UNATTENDED
00528.03*A	AL	1	ALL/ALL/DAYLIGHT
00528.1*A	AL	1	ALL/ALL/0800-1600
00530.1*H	AL	1	ALL/ALL/ALL
00536.*H	AL	1	ALL/ALL/ALL
00539.*H	AL	1	UNATTENDED
00539.01*A	AL	1	UNATTENDED
00546.*A	AL	1	ALL/ALL/0800-1730
00546.01*A	AL	1	UNATTENDED
00554.*A	AL	1	ALL/ALL/0500-2200
00554.01*H	AL	1	IRREGULAR
00554.03*H	AL	1	UNATTENDED
00561.*A	AL	1	ALL/MON-FRI/0730-1700
00561.*A	AL	2	ALL/SAT-SUN/0730-1700
00561.02*A	AL	1	UNATTENDED
00565.*A	AL	1	UNATTENDED
00568.5*H	AL	1	UNATTENDED
00570.*A	AL	1	UNATTENDED
00590.*A	AL	1	ALL/MON-FRI/0800-1700
00590.1*A	AL	1	UNATTENDED
00593.5*A	AL	1	UNATTENDED
00594.*A	AL	1	UNATTENDED
00594.01*H	AL	1	ATTENDANCE ON REQUEST
00596.*A	AL	1	UNATTENDED
00624.*A	AZ	1	UNATTENDED
00624.01*A	AZ	1	UNATTENDED
00624.02*A	AZ	1	ALL/ALL/0800-1700
00626.*A	AZ	1	UNATTENDED
00630.3*A	AZ	1	UNATTENDED
00632.*A	AZ	1	UNATTENDED
00632.1*A	AZ	1	ALL/ALL/ALL
00634.*A	AZ	1	ALL/ALL/ALL
00634.02*H	AZ	1	UNATTENDED
00634.512*H	AZ	1	UNATTENDED
00636.*A	AZ	1	UNATTENDED
00640.21*A	AZ	1	ALL/MON-SAT/0800-1700
00640.3*A	AZ	2	UNATTENDED
00640.49*H	AZ	1	ALL/ALL/ALL
00640.5*A	AZ	1	ALL/ALL/ALL
00640.51*A	AZ	1	ALL/ALL/0700-1800
00640.52*A	AZ	1	UNATTENDED
00640.53*A	AZ	1	ALL/ALL/0800-1700
00642.71*A	AZ	1	UNATTENDED
00642.72*H	AZ	1	UNATTENDED
00642.81*A	AZ	1	ALL/ALL/ALL
00642.86*H	AZ	1	UNATTENDED
00642.87*A	AZ	1	ALL/ALL/0800-1600
00642.871*H	AZ	1	UNATTENDED
00642.872*H	AZ	1	UNATTENDED
00642.9*A	AZ	1	APR-OCT/ALL/0600-1600
00642.9*A	AZ	2	NOV-MAR/ALL/0630-1630
00645.11*A	AZ	1	UNATTENDED
00645.13*H	AZ	1	ALL/ALL/ALL
00647.01*H	AZ	1	ALL/ALL/ALL
00648.*A	AZ	1	ALL/MON-FRI/0500-1700
00648.*A	AZ	2	ALL/SAT-SUN/0500-1530
00653.01*A	AZ	1	UNATTENDED
00653.5*A	AZ	1	ALL/IREG/IREG
00655.*A	AZ	1	UNATTENDED
00658.*A	AZ	1	UNATTENDED
00658.4*A	AZ	1	IRREGULAR
00660.7*A	AZ	1	ALL/MON-SAT/0900-1800
00660.85*A	AZ	1	UNATTENDED
00662.*A	AZ	1	ALL/MON-FRI/0800-1700
00662.3*A	AZ	1	ALL/MON-FRI/0800-1700
00665.*A	AZ	1	ALL/ALL/0800-1700
00665.1*H	AZ	1	ALL/ALL/ALL
00665.2*G	AZ	1	ALL/SAT-SUN/1000-1800
00666.61*U	AZ	1	OCT-APR/ALL/ALL
00670.*A	AZ	1	ALL/MON-FRI/0700-1800
00670.1*A	AZ	1	UNATTENDED
00670.2*A	AZ	1	ALL/MON-FRI/0630-1630
00671.*A	AZ	1	ALL/MON-FRI/0700-1700
00672.54*A	AZ	1	ALL/ALL/0700-1600
00674.*A	AZ	1	ALL/ALL/0600-2300
00674.02*H	AZ	1	UNATTENDED
00674.04*H	AZ	1	ALL/ALL/ALL
00682.*A	AZ	1	ALL/MON-SUN/0700-1700
00682.3*A	AZ	1	ALL/MON-THU/0830-1600
00687.1*A	AZ	1	UNATTENDED
00688.*A	AZ	1	0/0/0
00689.*A	AZ	1	ALL/ALL/DURG SKED RNG PERIODS ONLY
00690.*H	AZ	1	UNATTENDED
00690.02*H	AZ	1	UNATTENDED
00692.1*U	AZ	1	UNATTENDED
00692.21*A	AZ	1	ALL/ALL/0630-1930
00692.22*H	AZ	1	UNATTENDED
00692.25*A	AZ	1	ALL/MON-THU/1330-0530Z
00692.25*A	AZ	2	ALL/FRI/1330-0130Z
00694.*A	AZ	1	UNATTENDED
00696.*H	AZ	1	UNATTENDED
00696.01*H	AZ	1	UNATTENDED
00696.02*H	AZ	1	UNATTENDED
00696.03*H	AZ	1	UNATTENDED
00696.1*H	AZ	1	UNATTENDED
00696.71*A	AZ	1	ALL/ALL/ALL
00700.1*A	AZ	3	OCT 1 - MAY 31/ALL/0700-1900
00700.1*A	AZ	4	JUN 1 - SEP 30/ALL/0600-2000
00700.11*A	AZ	1	ALL/MON-FRI/0730-1600
00700.11*A	AZ	2	ALL/SAT-SUN/CLOSED
00702.*A	AZ	1	UNATTENDED
00704.*A	AZ	1	UNATTENDED
00705.*A	AZ	1	UNATTENDED
00706.1*A	AZ	1	ALL/ALL/ALL
00710.*A	AZ	1	UNATTENDED
00710.6*A	AZ	1	ALL/ALL/ALL
00710.61*A	AZ	1	ALL/ALL/ALL
00712.8*A	AZ	1	UNATTENDED
00712.812*A	AZ	1	UNATTENDED
00713.*A	AZ	1	ALL/MON-FRI/0900-1700
00716.*A	AZ	1	ALL/MON-FRI/0800-1700
00716.01*A	AZ	1	UNATTENDED
00716.1*A	AZ	1	UNATTENDED
00716.11*A	AZ	1	UNATTENDED
00717.*A	AZ	1	IRREGULAR
00717.01*A	AZ	1	UNATTENDED
00717.71*A	AZ	1	UNATTENDED
00717.76*A	AZ	1	ALL/ALL/0800-1700
00717.8*H	AZ	1	ALL/ALL/ALL
00717.9*H	AZ	1	UNATTENDED
00718.*A	AZ	1	UNATTENDED
00727.2*H	AZ	1	ALL/ALL/ALL
00727.9*U	AZ	1	ALL/ALL/IREG
00728.*A	AZ	1	ALL/ALL/0700-1530
00728.4*A	AZ	1	UNATTENDED
00728.5*A	AZ	1	ALL/ALL/DALGT
00728.57*A	AZ	1	UNATTENDED
00728.58*A	AZ	1	ALL/FRI-SUN/0800-1800
00728.59*A	AZ	1	UNATTENDED
00728.61*A	AZ	1	UNATTENDED
00728.62*H	AZ	1	UNATTENDED
00728.63*A	AZ	1	UNATTENDED
00728.64*A	AZ	2	ALL/ALL/ALL
00728.65*G	AZ	1	ALL/MON-FRI/1100-DUSK
00728.65*G	AZ	2	ALL/SAT-SUN/0900-DUSK
00728.66*A	AZ	1	ALL/ALL/ALL
00728.73*A	AZ	1	ALL/MON-FRI/0800-1600
00728.8*A	AZ	1	UNATTENDED
00729.*A	AZ	1	ALL/ALL/ALL
00729.11*H	AZ	1	UNATTENDED
00729.13*H	AZ	1	ALL/MON-FRI/0800-1700
00729.15*H	AZ	1	ALL/MON-FRI/0600-1630
00729.16*H	AZ	1	ALL/ALL/ALL
00729.19*H	AZ	1	ALL/MON-FRI/0600-1630
00729.21*H	AZ	1	UNATTENDED
00729.22*H	AZ	1	ALL/ALL/ALL
00732.*A	AZ	1	ALL/ALL/DALGT
00732.05*A	AZ	1	UNATTENDED
00732.1*A	AZ	1	ALL/MON-FRI/0700-1700
00734.23*A	AZ	1	ALL/ALL/ALL
00735.4*A	AZ	1	IRREGULAR
00735.41*A	AZ	1	UNATTENDED
00735.42*A	AZ	1	UNATTENDED
00735.43*A	AZ	1	UNATTENDED
00739.*A	AZ	1	ALL/ALL/0700-1900
00741.9*A	AZ	1	UNATTENDED
00742.11*A	AZ	1	UNATTENDED
00742.2*A	AZ	1	ALL/ALL/DALGT
00742.6*A	AZ	1	UNATTENDED
00742.7*A	AZ	1	UNATTENDED
00745.*A	AZ	1	ALL/ALL/0800-1700
00745.01*H	AZ	1	ALL/ALL/ALL
00746.*A	AZ	1	UNATTENDED
00747.1*A	AZ	1	ALL/MON-FRI/0700-1600
00747.1*A	AZ	2	ALL/SAT-SUN/0700-1200
00749.*A	AZ	2	ALL/ALL/DALGT
00749.01*H	AZ	1	UNATTENDED
00749.02*A	AZ	1	ALL/ALL/DALGT
00749.03*A	AZ	1	UNATTENDED
00749.04*H	AZ	1	UNATTENDED
00749.05*H	AZ	1	UNATTENDED
00749.6*A	AZ	1	UNATTENDED
00749.61*A	AZ	1	UNATTENDED
00750.1*A	AZ	1	ALL/ALL/0900-1700
00751.13*H	AZ	1	UNATTENDED
00751.14*H	AZ	1	ALL/MON-FRI/0730-1600
00751.15*H	AZ	1	UNATTENDED
00751.16*H	AZ	1	UNATTENDED
00751.19*H	AZ	1	UNATTENDED
00751.23*H	AZ	1	UNATTENDED
00751.24*H	AZ	1	UNATTENDED
00751.26*H	AZ	1	UNATTENDED
00751.27*H	AZ	1	UNATTENDED
00751.29*H	AZ	1	UNATTENDED
00751.33*H	AZ	1	UNATTENDED
00751.35*H	AZ	1	UNATTENDED
00751.37*H	AZ	1	UNATTENDED
00751.4*A	AZ	1	ALL/ALL/ALL
00751.43*H	AZ	1	UNATTENDED
00751.44*H	AZ	1	UNATTENDED
00751.45*H	AZ	1	ALL/ALL/ALL
00751.46*H	AZ	1	ALL/ALL/0600-1900
00751.47*H	AZ	1	UNATTENDED
00751.49*H	AZ	1	UNATTENDED
00751.51*H	AZ	1	ALL/MON-FRI/0900-1700
00751.52*H	AZ	1	ALL/ALL/ALL
00751.53*H	AZ	1	UNATTENDED
00751.54*H	AZ	1	ALL/ALL/ALL
00751.55*A	AZ	1	ALL/MON-FRI/0800-1700
00751.55*A	AZ	2	ALL/SAT/0730-1530
00751.56*H	AZ	1	UNATTENDED
00752.*H	AZ	1	ALL/MON-FRI/1330-2300Z EXC HOL
00753.*A	AZ	1	ALL/ALL/ALL
00754.*A	AZ	1	ALL/ALL/ALL
00756.78*A	AZ	1	ALL/ALL/ALL
00761.*A	AZ	1	UNATTENDED
00762.*A	AZ	1	UNATTENDED
00763.*A	AZ	2	ALL/ALL/0600-2200
00763.08*A	AZ	1	ALL/ALL/ALL
00763.11*A	AZ	1	ALL/ALL/0900-1700
00765.*H	AZ	1	UNATTENDED
00765.01*H	AZ	1	UNATTENDED
00765.1*H	AZ	1	UNATTENDED
00766.11*A	AZ	1	UNATTENDED
00768.01*A	AZ	1	UNATTENDED
00768.41*A	AZ	1	UNATTENDED
00777.*A	AZ	1	ALL/ALL/DALGT
00778.7*A	AZ	1	UNATTENDED
00780.01*H	AZ	1	UNATTENDED
00782.*A	AZ	1	ALL/MON-SAT/0800-1730
00782.*A	AZ	2	ALL/SUN/ON CALL
00782.01*H	AZ	1	UNATTENDED
00782.02*H	AZ	1	ALL/ALL/ALL
00782.5*A	AZ	1	UNATTENDED
00783.*A	AZ	1	ALL/ALL/0700-1700
00785.*A	AZ	1	UNATTENDED
00785.01*A	AZ	1	UNATTENDED
00785.02*A	AZ	1	UNATTENDED
00786.2*A	AZ	1	UNATTENDED
00786.7*A	AZ	1	UNATTENDED
00788.*A	AZ	1	ALL/ALL/ALL
00788.03*H	AZ	1	ALL/ALL/ALL
00788.04*H	AZ	1	UNATTENDED
00788.05*H	AZ	1	UNATTENDED
00788.06*H	AZ	1	UNATTENDED
00788.07*H	AZ	1	UNATTENDED
00788.08*H	AZ	1	ALL/ALL/ALL
00788.3*A	AZ	1	MAY-SEP/ALL/0700-1800
00788.3*A	AZ	2	OCT-APR/ALL/0700-1700
00788.31*H	AZ	1	ALL/ALL/ALL
00791.1*A	AZ	1	UNATTENDED
00791.2*A	AZ	1	UNATTENDED
00793.*A	AZ	1	UNATTENDED
00794.09*U	AZ	1	UNATTENDED
00794.1*A	AZ	2	JAN-DEC/ALL/0700-1900
00794.11*A	AZ	1	UNATTENDED
00794.12*H	AZ	1	ALL/ALL/ALL
00794.17*H	AZ	1	ALL/ALL/ALL
00794.24*A	AZ	1	UNATTENDED
00795.1*A	AZ	1	UNATTENDED
00796.*A	AZ	1	ALL/ALL/ALL
00796.6*U	AZ	1	UNATTENDED
00797.*A	AZ	1	ALL/FRI-TUE/0800-1600
00797.5*A	AZ	1	SUMMER/ALL/DAWN-DUSK
00797.5*A	AZ	2	WINTER/MON-SAT/DAWN-DUSK
00797.511*A	AZ	1	ALL/ALL/ALL
00797.52*A	AZ	1	UNATTENDED
00801.*H	AZ	1	UNATTENDED
00801.01*H	AZ	1	UNATTENDED
00801.41*H	AZ	1	UNATTENDED
00801.89*H	AZ	1	IRREGULAR
00802.*A	AZ	1	UNATTENDED
00802.41*H	AZ	1	UNATTENDED
00804.*A	AZ	1	ALL/MON-FRI/0730-1700
00806.01*H	AZ	1	ALL/ALL/ALL
00806.04*H	AZ	1	UNATTENDED
00806.113*H	AZ	1	UNATTENDED
00806.2*A	AZ	1	UNATTENDED
00809.01*H	AZ	1	ALL/MON-FRI/0800-1700
00809.02*H	AZ	1	UNATTENDED
00810.*A	AZ	1	UNATTENDED
00810.01*H	AZ	1	IRREGULAR
00810.24*H	AZ	1	UNATTENDED
00810.25*A	AZ	1	UNATTENDED
00810.26*A	AZ	1	ALL/ALL/ALL
00810.27*A	AZ	1	UNATTENDED
00810.28*H	AZ	1	UNATTENDED
00810.29*U	AZ	1	IRREGULAR
00811.12*A	AZ	1	UNATTENDED
00812.03*A	AZ	1	UNATTENDED
00812.05*H	AZ	1	ALL/ALL/ALL
00812.06*H	AZ	1	UNATTENDED
00812.07*H	AZ	1	UNATTENDED
00812.08*H	AZ	1	ALL/ALL/ALL
00812.09*H	AZ	1	IRREGULAR
00812.12*A	AZ	1	UNATTENDED
00813.*A	AZ	1	ALL/ALL/0700-1730
00813.2*H	AZ	1	UNATTENDED
00813.3*G	AZ	1	ALL/WED/1200-DUSK
00813.3*G	AZ	2	ALL/SAT-SUN/0930-DUSK
00816.*A	AZ	1	ALL/ALL/ALL
00817.3*A	AZ	1	ON CALL
00818.*A	AZ	1	ALL/M-F/0800-1700
00818.*A	AZ	2	ALL/SAT/0800-1700
00818.61*H	AZ	1	ALL/ALL/DALGT
00821.01*A	AZ	1	UNATTENDED
00822.97*A	AZ	1	ALL/ALL/ALL
00823.*A	AZ	1	APR-OCT/MON-FRI/0700-1700
00823.*A	AZ	2	NOV-MAR/MON-FRI/0800-1700
00823.6*A	AZ	1	MAY-OCT/ALL/DALGT
00823.6*A	AZ	2	NOV-APR/UNATNDD/
00825.2*A	AZ	1	UNATTENDED
00825.21*A	AZ	1	UNATTENDED
00825.3*H	AZ	1	UNATTENDED
00827.3*A	AZ	1	ALL/TUE-SAT/0700-1600
00829.11*H	AZ	1	ALL/ALL/ALL
00829.12*A	AZ	1	ALL/ALL/ALL
00829.14*A	AZ	1	ALL/ALL/0800-1700
00829.2*A	AZ	1	UNATTENDED
00830.*A	AZ	1	ALL/ALL/0800-1700, CLSD HOLS
00831.*A	AZ	2	UNATTENDED
00831.*A	AZ	3	ALL/MON-FRI/0800-1500
00831.*A	AZ	4	ALL/SAT-SUN/CLOSED
